"time","open","high","low","close","volumefrom","volumeto","conversion_type","conversion_symbol","coin"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
2010-07-17,0,0,0,0,0,0,NA,NA,"INB"
